Course,Grad ASE,Sections
120,6,y
124,21,y
125,13,y
126,14,y
134/5/6,1,y
208,6,n
300,3,n
327,2,n
334/5/6,1,y
381,1,n
402/3/4,1,n
407/8/9,2,n
424/5/6,1,n
427/8,1,n
441/2/3,2,n
464/5,2,n
491/3,1,n
504/5/6,1,n
544/5/6,1,n
514/516,1,n
Lead TA,1,n
GSR,1,n
IC,1,n
